Sample,Attempt ,Deformation,Long,Short ,Mechanism,EB,SxIP,Kinesin
1trysamples6\roi1,1,0,0,0,TAC,0,0,30
2,1,0,0,0,TAC,0,0,30
3,1,0,0,0,TAC,0,0,30
4,1,0,0,0,TAC,0,0,30
5,1,0,0,0,TAC,0,0,30
6,1,0,0,0,TAC,0,0,30
7,1,0,0,0,TAC,0,0,30
6,1,1,1,0,TAC,0,0,30
2,1,1,1,0,TAC,0,0,30
8,1,0,0,0,TAC,0,0,30
12,1,1,1,0,TAC,0,0,30
13,1,1,1,0,TAC,0,0,30
4,2,2,2,0,TAC,0,0,30
4,1,1,1,0,TAC,0,0,30
8,1,1,1,0,K_pull,0,0,30
9,1,1,1,0,K_pull,0,0,30
10,1,1,1,0,K_pull,0,0,30
11,1,1,1,0,K_pull,0,0,30
12,1,1,1,0,K_pull,0,0,30
13,1,1,1,0,K_pull,0,0,30
14,1,1,1,0,K_pull,0,0,30
15,1,1,1,0,K_pull,0,0,30
16,1,1,1,0,K_pull,0,0,30
7,1,1,1,0,K_pull,0,0,30
5,1,1,1,0,K_pull,0,0,30
11,1,1,1,0,K_pull,0,0,30
12,1,1,1,0,K_pull,0,0,30
2trysamples4\roi1,1,1,1,0,K_pull,0,0,30
3,1,1,1,0,K_pull,0,0,30
4,1,1,1,0,K_pull,0,0,30
7,1,1,1,0,K_pull,0,0,30
4,1,1,1,0,K_pull,0,0,30
5,1,1,1,0,K_pull,0,0,30
6,1,1,1,0,K_pull,0,0,30
7,1,1,1,0,K_pull,0,0,30
8,1,1,1,0,K_pull,0,0,30
9,1,1,1,0,K_pull,0,0,30
10,1,1,1,0,K_pull,0,0,30
11,1,1,1,0,K_pull,0,0,30
5,1,1,0,1,K_pull,0,0,30
3,1,1,1,0,K_pull,0,0,30
17,1,0,0,0,dTAC,0,0,30
10,1,0,0,0,dTAC,0,0,30
5,1,0,0,0,dTAC,0,0,30
6,1,0,0,0,dTAC,0,0,30
3,1,0,0,0,dTAC,0,0,30
4,1,0,0,0,dTAC,0,0,30
6,1,0,0,0,dTAC,0,0,30
3,1,0,0,0,dTAC,0,0,30
2trysamples2\roi1,1,0,0,0,Sliding,0,0,30
2,1,0,0,0,Sliding,0,0,30
3,1,0,0,0,Sliding,0,0,30
4,1,0,0,0,Sliding,0,0,30
5,1,0,0,0,Sliding,0,0,30
6,1,0,0,0,Sliding,0,0,30
2trysamples3\roi1,1,0,0,0,Sliding,0,0,30
2,1,0,0,0,Sliding,0,0,30
3,1,0,0,0,Sliding,0,0,30
