Speed,TAC,dTAC,Sliding,Kinesin,Kinesin_con,SxIP_con,movie_number
2.77,1,0,0,0,30,15,4
2.17,1,0,0,0,30,15,4
2.206,1,0,0,0,30,15,4
0.841,1,0,0,0,30,15,4
5.491,0,0,1,0,30,15,4
5.297,0,0,1,0,30,15,4
9.034,0,1,0,0,30,15,4
23,0,0,0,1,30,15,4
19.25,0,0,0,1,30,15,4
19.688,0,0,0,1,30,15,4
13.887,0,0,0,1,30,15,4
15.536,0,0,0,1,30,15,4
25,0,0,0,2,30,15,4
22.941,0,0,0,1,30,15,4
29.669,0,0,0,1,30,15,4
13.286,0,0,0,1,30,15,4
,,,,,30,15,
1.331,1,0,0,0,30,15,5
,,,,,30,15,
3.018,1,0,0,0,30,15,7
,,,,,30,15,
1.837,1,0,0,0,30,15,8
,1,0,0,0,30,15,8
7.456,0,0,0,1,30,15,8
16.875,0,0,0,1,30,15,8
13.04,0,0,0,1,30,15,8
18,0,0,0,2,30,15,8
16.25,0,0,0,1,30,15,8
11.394,0,0,0,1,30,15,8
16.674,0,0,0,1,30,15,8
,,,,,30,15,
1.74,1,0,0,0,30,15,10
5.114,0,0,1,0,30,15,10
9.125,0,0,1,0,30,15,10
,0,1,0,0,30,15,10
6.202,0,0,0,1,30,15,10
10.2,0,0,0,1,30,15,10
7.564,0,0,0,1,30,15,10
14.595,0,0,0,1,30,15,10
,0,0,0,1,30,15,10
16.213,0,0,0,1,30,15,10
18.525,0,0,0,1,30,15,10
32.875,0,0,0,1,30,15,10
17.031,0,0,0,1,30,15,10
19.125,0,0,0,1,30,15,10
19.514,0,0,0,1,30,15,10
,,,,,30,15,
,0,0,1,0,30,15,3
,0,0,1,0,30,15,
,0,0,1,0,30,15,
,,,,,30,15,
25,0,0,0,1,30,15,4
,,,,,30,15,
1.918,1,0,0,0,30,15,8
,1,0,0,0,30,15,8
2.308,1,0,0,0,30,15,8
1.265,1,0,0,0,30,15,8
22.383,0,0,0,1,30,15,8
19.737,0,0,0,1,30,15,8
